motif_id,instance_idx,start,end,length,distance,meta_waterzumpf_cv,meta_ore_cv,meta_watermill_cv,meta_pattern_type
4,25,123195,123255,60,2.6467979397133425,,,,
4,26,148582,148642,60,2.655916537988124,,,,
4,27,48655,48715,60,2.657675825425063,,,,
4,28,121710,121770,60,2.6647885746648705,,,,
4,29,115892,115952,60,2.6742695711037854,,,,
4,30,157627,157687,60,2.7061233183753646,,,,
4,31,126116,126176,60,2.7175402820567527,,,,
4,32,93641,93701,60,2.79354067828831,,,,
4,33,125281,125341,60,2.8067935192800526,,,,
4,34,195505,195565,60,2.832007236780528,,,,
4,35,169828,169888,60,2.8351677071436203,,,,
4,36,81558,81618,60,2.883892213178755,,,,
4,37,50056,50116,60,2.9421146448434676,,,,
4,38,69044,69104,60,2.9491718164814147,,,,
4,39,130570,130630,60,2.962558061128754,,,,
4,40,46584,46644,60,2.9831907233036774,,,,
4,41,154825,154885,60,2.990662347213446,,,,
4,42,195634,195694,60,2.9965885157566046,,,,
4,43,179606,179666,60,3.0014077614084496,,,,
4,44,159238,159298,60,3.1029638352273,,,,
4,45,190186,190246,60,3.1029833876389343,,,,
4,46,453,513,60,3.1058607295789145,,,,
4,47,2065,2125,60,3.1107406708066705,,,,
4,48,12667,12727,60,3.116883083101441,,,,
4,49,181250,181310,60,3.1310526603127955,,,,
4,50,176826,176886,60,3.1478459940227825,,,,
4,51,84854,84914,60,3.1721432532281533,,,,
4,52,175368,175428,60,3.1795952717947524,,,,
4,53,80176,80236,60,3.179928657062666,,,,
4,54,179267,179327,60,3.237852344598487,,,,
4,55,88639,88699,60,3.258649014370079,,,,
4,56,143135,143195,60,3.2942008825345566,,,,
4,57,82954,83014,60,3.3345512150654386,,,,
4,58,67616,67676,60,3.336754548155411,,,,
4,59,107022,107082,60,3.3381774960586332,,,,
4,60,45080,45140,60,3.3518690777097127,,,,
4,61,108827,108887,60,3.367149552585034,,,,
4,62,6803,6863,60,3.3690788950283195,,,,
4,63,130012,130072,60,3.3855066353667125,,,,
4,64,149284,149344,60,3.3928897905370468,,,,
4,65,189467,189527,60,3.418496439758511,,,,
4,66,268300,268360,60,3.4381903205288387,,,,
4,67,81123,81183,60,3.447639956850628,,,,
4,68,119937,119997,60,3.4681326279299087,,,,
4,69,67971,68031,60,3.479511833534898,,,,
4,70,161309,161369,60,3.4833806114378496,,,,
4,71,61984,62044,60,3.4925532415620384,,,,
4,72,65692,65752,60,3.49558323618175,,,,
4,73,48163,48223,60,3.50615265745169,,,,
4,74,15409,15469,60,3.5239630032259015,,,,
4,75,126968,127028,60,3.525826610564261,,,,
4,76,64148,64208,60,3.5465070779038874,,,,
4,77,65468,65528,60,3.5619001176259952,,,,
4,78,36954,37014,60,3.5793113089814135,,,,
4,79,52038,52098,60,3.5863537063135937,,,,
4,80,122803,122863,60,3.59019466492636,,,,
4,81,133186,133246,60,3.621569776561405,,,,
4,82,42699,42759,60,3.64210962662421,,,,
4,83,69707,69767,60,3.6507777085658444,,,,
4,84,173415,173475,60,3.6518113905931244,,,,
4,85,2331,2391,60,3.6579892189976,,,,
4,86,100660,100720,60,3.6731067700375784,,,,
4,87,123384,123444,60,3.690676331347819,,,,
4,88,25950,26010,60,3.7135804189287924,,,,
4,89,189708,189768,60,3.717115800974351,,,,
4,90,227527,227587,60,3.720741742254344,,,,
4,91,187317,187377,60,3.7690471589302095,,,,
4,92,134526,134586,60,3.7735256643671744,,,,
4,93,150976,151036,60,3.7849361293700525,,,,
4,94,64510,64570,60,3.7860708806203762,,,,
4,95,41926,41986,60,3.7862161242539862,,,,
4,96,117806,117866,60,3.8528715597361582,,,,
4,97,181013,181073,60,3.858536051188841,,,,
4,98,141918,141978,60,3.8728737945323366,,,,
4,99,24887,24947,60,3.8793583093257253,,,,
4,100,234345,234405,60,3.9073818588870735,,,,
4,101,81227,81287,60,3.913183358884717,,,,
4,102,260407,260467,60,3.914214837455005,,,,
4,103,111674,111734,60,3.921293801431806,,,,
4,104,97435,97495,60,3.9273995050178936,,,,
4,105,224154,224214,60,3.9698530365387814,,,,
4,106,152953,153013,60,3.9790125939099825,,,,
4,107,141522,141582,60,4.000072422674373,,,,
4,108,44914,44974,60,4.0098061240548395,,,,
4,109,180913,180973,60,4.017059269633215,,,,
4,110,96153,96213,60,4.021240744739404,,,,
4,111,138169,138229,60,4.036754246888845,,,,
4,112,123902,123962,60,4.038150063700679,,,,
4,113,166934,166994,60,4.0439931456716085,,,,
4,114,42912,42972,60,4.046571629132111,,,,
4,115,105667,105727,60,4.075809651154874,,,,
4,116,266161,266221,60,4.093696429890929,,,,
4,117,73015,73075,60,4.109929054936721,,,,
4,118,26446,26506,60,4.112185000674948,,,,
4,119,209885,209945,60,4.121068412938032,,,,
4,120,196028,196088,60,4.12212933317216,,,,
4,121,78987,79047,60,4.124235696986396,,,,
4,122,46442,46502,60,4.132302554831946,,,,
4,123,249714,249774,60,4.1332468025595395,,,,
4,124,46721,46781,60,4.14165083909137,,,,
4,125,47603,47663,60,4.1456432465600574,,,,
4,126,226270,226330,60,4.170938224466174,,,,
4,127,155785,155845,60,4.172784283209817,,,,
4,128,181190,181250,60,4.1766163400461975,,,,
4,129,179327,179387,60,4.178602182144027,,,,
4,130,129163,129223,60,4.180652426846871,,,,
4,131,48002,48062,60,4.194080703415819,,,,
4,132,101819,101879,60,4.194801865348496,,,,
4,133,98063,98123,60,4.2088957500343795,,,,
4,134,230373,230433,60,4.213897886119428,,,,
4,135,131791,131851,60,4.220077269333746,,,,
4,136,48549,48609,60,4.23377138142455,,,,
4,137,251423,251483,60,4.235409930064658,,,,
4,138,13560,13620,60,4.241370911053663,,,,
4,139,74131,74191,60,4.2496107500517155,,,,
4,140,168716,168776,60,4.253124990877966,,,,
4,141,68108,68168,60,4.2532840921805395,,,,
4,142,76314,76374,60,4.2588839034591075,,,,
4,143,149944,150004,60,4.265393337250157,,,,
4,144,162486,162546,60,4.274074337836489,,,,
4,145,151454,151514,60,4.27576015778411,,,,
4,146,44567,44627,60,4.284730690379028,,,,
