motif_id,pattern_type,instance_idx,density_mean,density_std,density_change,density_range,ore_correlation,watermill_correlation,waterzumpf_correlation,ore_lag,watermill_lag,waterzumpf_lag,ore_cv,watermill_cv,waterzumpf_cv
5,inverse,2,1670.67480304053,3.32474093423164,11.94569783557722,14.624617751290543,-0.8148863998742429,-0.03615136813158986,-0.5157084779320771,0,0,0,0.002542863797569667,0.003823953454293626,0.01007259160074119
5,inverse,3,1704.3290009534423,5.986086574420936,-10.185450259636127,22.090497257925108,-0.10816525014982578,0.9347633722488311,-0.21000835332149168,0,0,0,0.0068029433123643355,0.0022111445678417814,0.010657876572752202
6,inverse,0,1687.295788025672,3.1271513516061504,2.679975345599587,10.486659607692445,-0.2912590317346699,-0.2251905448468079,-0.4223176504067927,0,0,0,0.000761196712498794,0.005043673265705019,0.006239247088770162
6,inverse,1,1713.376710353177,5.977733016865439,-18.655777001044726,18.774743189242372,0.9298332925719754,0.9448402095684466,0.4976549431087319,0,0,0,0.0005591267340485343,0.0021437799083036634,0.003876597370429881
6,inverse,2,1668.2992436420443,1.5821002244659303,-2.0208973966407484,4.456281097887995,0.8594028731147171,0.8221557126520019,0.5964454651295154,0,0,0,0.0005220363127960726,0.002043271157593192,0.0028924924952231203
6,inverse,3,1666.7756738304297,2.3794969069214305,5.2153148039874395,6.579093823778749,-0.8396542895159741,-0.9248844710587315,-0.6621172683033986,0,0,0,0.0009421256084445655,0.002709093317215088,0.0034803193010700902
6,inverse,4,1670.5721285607992,2.266923846115691,-2.7490236861438007,6.8206023363838995,0.8685671894927506,0.8941876832440171,0.5428929515820072,0,0,0,0.0006874580189618777,0.0020730329833131516,0.0025603256251546945
7,inverse,0,1670.1344617584718,1.4457455420209102,-2.1141169070374417,5.063355914955537,-0.4465445542498284,-0.7008593812954272,-0.7229144966891751,0,0,0,0.00541025461870347,0.006719492486862661,0.008108926596002519
7,inverse,1,1675.3313001452573,1.7920707116498118,-4.381647936074842,5.019234139950186,-0.9221326440689745,-0.4459231594442182,-0.09166062016896907,0,0,0,0.0009296924918198279,0.0019932027386981442,0.0032970521193780964
8,inverse,0,1705.1442776505746,12.67950612733467,42.839998957496846,42.839998957496846,-0.7894848742318699,-0.806237460817101,-0.9337737361548489,0,0,0,0.009550848951376764,0.007589169205798407,0.012025216696819548
8,inverse,1,1719.56450980993,4.5386500263496545,11.380378065287005,12.73884500581562,-0.49593063553066186,-0.8091070122489292,-0.7602070660668456,0,0,0,0.004093239409106407,0.0032410864860374345,0.004965434451773902
