motif_id,pattern_type,instance_idx,start,end,length,distance,meta_pattern_type,meta_waterzumpf_cv,meta_ore_cv,meta_watermill_cv,meta_psi200_cv
8,mv,6,194375,194435,60,3.0721359687130234,mv,,,,
8,mv,7,38532,38592,60,3.3086751882384493,mv,,,,
8,mv,8,133670,133730,60,3.4055065418678705,mv,,,,
8,mv,9,225139,225199,60,3.5302245302589568,mv,,,,
8,mv,10,284037,284097,60,3.6266512771166366,mv,,,,
8,mv,11,284190,284250,60,3.714752818410353,mv,,,,
8,mv,12,94708,94768,60,3.7229257066253947,mv,,,,
8,mv,13,150481,150541,60,3.8088160803088713,mv,,,,
8,mv,14,170742,170802,60,3.8202096414650533,mv,,,,
8,mv,15,227534,227594,60,3.8353035488024196,mv,,,,
8,mv,16,23602,23662,60,3.88365480438547,mv,,,,
8,mv,17,56422,56482,60,3.9025322957692614,mv,,,,
8,mv,18,235983,236043,60,3.99191120348063,mv,,,,
8,mv,19,212166,212226,60,4.1160285073238825,mv,,,,
9,mv,0,122440,122500,60,1.3477109735721366e-06,mv,,,,
9,mv,1,303316,303376,60,1.856313138044111,mv,,,,
9,mv,2,105416,105476,60,1.9482839898590039,mv,,,,
9,mv,3,126619,126679,60,2.013614125075738,mv,,,,
9,mv,4,69270,69330,60,2.0495439418230488,mv,,,,
9,mv,5,301654,301714,60,2.2272917815179163,mv,,,,
9,mv,6,58080,58140,60,2.2274575850224756,mv,,,,
9,mv,7,335804,335864,60,2.2436424431920714,mv,,,,
9,mv,8,271717,271777,60,2.3165566654355936,mv,,,,
9,mv,9,122559,122619,60,2.3739083568826223,mv,,,,
9,mv,10,6601,6661,60,2.438166299640282,mv,,,,
9,mv,11,179926,179986,60,2.449237959533603,mv,,,,
9,mv,12,95293,95353,60,2.515353020215947,mv,,,,
9,mv,13,129723,129783,60,2.6164448231593354,mv,,,,
9,mv,14,294629,294689,60,2.6240283221103753,mv,,,,
9,mv,15,25518,25578,60,2.800493484130586,mv,,,,
9,mv,16,271657,271717,60,2.8378633952242627,mv,,,,
9,mv,17,305794,305854,60,2.8566703895715717,mv,,,,
9,mv,18,158639,158699,60,2.8760018453869742,mv,,,,
9,mv,19,280243,280303,60,2.90709163811451,mv,,,,
10,mv,0,335177,335237,60,2.980232238769531e-07,mv,,,,
10,mv,1,269136,269196,60,1.184149660137777,mv,,,,
10,mv,2,324171,324231,60,1.916704264032923,mv,,,,
10,mv,3,290399,290459,60,1.9195588300534598,mv,,,,
10,mv,4,313133,313193,60,2.059800199629426,mv,,,,
10,mv,5,94391,94451,60,2.1873522901387092,mv,,,,
10,mv,6,334630,334690,60,2.1896156058697493,mv,,,,
10,mv,7,306587,306647,60,2.398223539883252,mv,,,,
10,mv,8,216243,216303,60,2.46262488735822,mv,,,,
10,mv,9,252419,252479,60,2.4882340438970094,mv,,,,
10,mv,10,29535,29595,60,2.556976785151884,mv,,,,
10,mv,11,305184,305244,60,2.5758650713933506,mv,,,,
10,mv,12,241007,241067,60,2.5928601754353706,mv,,,,
10,mv,13,159720,159780,60,2.6748343962900885,mv,,,,
10,mv,14,305446,305506,60,2.7272662337312923,mv,,,,
10,mv,15,341107,341167,60,2.7307721099235067,mv,,,,
10,mv,16,225234,225294,60,2.756845487754829,mv,,,,
10,mv,17,272839,272899,60,2.7815505831654685,mv,,,,
10,mv,18,105631,105691,60,2.7833215364923203,mv,,,,
10,mv,19,6081,6141,60,2.825965598376928,mv,,,,
11,mv,0,146992,147052,60,5.960464477539062e-07,mv,,,,
11,mv,1,111927,111987,60,1.2079136505199184,mv,,,,
11,mv,2,187806,187866,60,1.4957370140550525,mv,,,,
11,mv,3,65080,65140,60,2.0999155445503686,mv,,,,
11,mv,4,205172,205232,60,2.564152261451969,mv,,,,
11,mv,5,284115,284175,60,2.6327072192529335,mv,,,,
11,mv,6,108803,108863,60,2.6867051680826086,mv,,,,
11,mv,7,276132,276192,60,2.715573372027344,mv,,,,
11,mv,8,168988,169048,60,2.7272330160449734,mv,,,,
11,mv,9,285146,285206,60,2.729154044692908,mv,,,,
11,mv,10,340319,340379,60,2.8814806953811685,mv,,,,
11,mv,11,146038,146098,60,2.8942368633165767,mv,,,,
11,mv,12,277029,277089,60,2.9084564071730643,mv,,,,
11,mv,13,267692,267752,60,2.98810334918002,mv,,,,
11,mv,14,185336,185396,60,2.9986133163084427,mv,,,,
11,mv,15,180149,180209,60,3.0029060972746815,mv,,,,
11,mv,16,159803,159863,60,3.0368757822716854,mv,,,,
11,mv,17,138053,138113,60,3.0540530655524827,mv,,,,
11,mv,18,324297,324357,60,3.0946545203359914,mv,,,,
11,mv,19,290972,291032,60,3.104153362269227,mv,,,,
12,mv,0,308183,308243,60,6.664001874625056e-08,mv,,,,
12,mv,1,338088,338148,60,1.2398225716961007,mv,,,,
12,mv,2,218986,219046,60,1.4087838930709304,mv,,,,
12,mv,3,339269,339329,60,1.4895127372239814,mv,,,,
12,mv,4,259253,259313,60,2.138675694975588,mv,,,,
12,mv,5,211997,212057,60,2.3265199769268845,mv,,,,
12,mv,6,15366,15426,60,2.504426817052889,mv,,,,
12,mv,7,288008,288068,60,2.5955015869998697,mv,,,,
12,mv,8,97452,97512,60,2.6569225596410377,mv,,,,
12,mv,9,12773,12833,60,2.6744410205499376,mv,,,,
12,mv,10,246930,246990,60,2.7507517057264734,mv,,,,
12,mv,11,99680,99740,60,3.0532696114088664,mv,,,,
12,mv,12,259186,259246,60,3.057481392890326,mv,,,,
12,mv,13,295288,295348,60,3.143845230748289,mv,,,,
12,mv,14,49358,49418,60,3.1440680647272847,mv,,,,
12,mv,15,100410,100470,60,3.1884685856625246,mv,,,,
12,mv,16,233395,233455,60,3.228202971806142,mv,,,,
12,mv,17,125108,125168,60,3.233040198239001,mv,,,,
12,mv,18,98603,98663,60,3.2562579036152712,mv,,,,
12,mv,19,193499,193559,60,3.2758640529558405,mv,,,,
13,mv,0,226087,226147,60,3.279609833893129e-06,mv,,,,
13,mv,1,170851,170911,60,1.1653811547790163,mv,,,,
13,mv,2,158829,158889,60,1.4685152771864838,mv,,,,
13,mv,3,185159,185219,60,1.6523662041033231,mv,,,,
13,mv,4,184283,184343,60,1.864238834195726,mv,,,,
13,mv,5,5881,5941,60,1.8909628807318286,mv,,,,
13,mv,6,158052,158112,60,1.9078046060935692,mv,,,,
13,mv,7,127177,127237,60,1.9230184132105959,mv,,,,
13,mv,8,41833,41893,60,1.95113080729102,mv,,,,
13,mv,9,210787,210847,60,2.0871356488486046,mv,,,,
13,mv,10,166894,166954,60,2.095782719198443,mv,,,,
13,mv,11,82134,82194,60,2.12060781967933,mv,,,,
13,mv,12,83591,83651,60,2.1314350135749396,mv,,,,
13,mv,13,106519,106579,60,2.3574235797515355,mv,,,,
13,mv,14,82443,82503,60,2.428257178537368,mv,,,,
13,mv,15,87949,88009,60,2.466231866515518,mv,,,,
13,mv,16,130132,130192,60,2.490820813230524,mv,,,,
13,mv,17,159537,159597,60,2.4912365097409155,mv,,,,
13,mv,18,119020,119080,60,2.5166596332677273,mv,,,,
13,mv,19,42038,42098,60,2.517021112618738,mv,,,,
14,mv,0,207677,207737,60,8.242915085517962e-07,mv,,,,
14,mv,1,60651,60711,60,1.2041483643515833,mv,,,,
