motif_id,pattern_type,instance_idx,density_mean,density_std,density_change,density_range,ore_correlation,watermill_correlation,waterzumpf_correlation,ore_lag,watermill_lag,waterzumpf_lag,ore_cv,watermill_cv,waterzumpf_cv,psi200_cv
2,steady_state,4,1675.0507267523938,2.211373811316517,-6.179303826978412,7.159826351298307,0.8677389782552103,-0.8857182656923616,-0.8983263058812276,0,0,0,0.006799061276629678,0.006659493979054707,0.00861796682959042,0.0
2,steady_state,5,1770.6752240345797,13.918228009124848,41.817314994134904,41.817314994134904,-0.7582708464639865,0.8664614957397321,0.9156607421972092,0,0,0,0.0051129867639391905,0.0023043282564366714,0.0032343138934414445,0.0
2,steady_state,6,1662.830250175345,3.271660929958431,-4.660287142201014,9.791184741512552,0.518727226146461,-0.7633531979309215,-0.7888871949487626,0,0,0,0.002944112378544369,0.00894013386707205,0.006809023626958057,0.0
2,steady_state,7,1649.3458743923777,2.262590060023297,-4.704076919191948,8.685644946956472,0.33984645823457826,-0.7769021292110455,-0.8906085353047176,0,0,0,0.0019353125829942692,0.005507145477999239,0.0044471566064542565,0.0
2,steady_state,8,1643.825983253519,2.2891146889621314,-6.902462603449976,7.5336518827041346,0.5582737744460889,-0.841583499723926,-0.9818566300558443,0,0,0,0.002386222655900824,0.0057381417040828255,0.003474438920154289,0.0
2,steady_state,9,1715.9827469199174,7.455664722385822,-22.755553909962828,22.755553909962828,0.9435411957546991,-0.9418206498458855,-0.9863456616516704,0,0,0,0.002296386682014529,0.005319741678346548,0.0053096652477160455,0.0
2,steady_state,10,1679.2817450903224,8.390805200237121,-22.293296050868776,23.99851330286333,0.8430787970584898,-0.9670586954707275,-0.990351744011772,0,0,0,0.0024530038500438986,0.005253809890425522,0.006608060863504896,0.0
2,steady_state,11,1679.0801848560102,7.765736162845041,-18.75627408814148,20.517786318698654,0.6620543621940833,-0.7841709323057927,-0.8797848439364037,0,0,0,0.0033935801994930174,0.0034358644624665653,0.004343138443638204,0.0
2,steady_state,12,1611.9113640302944,3.3541175343350624,-10.390589142254612,10.638763209823765,0.7697455753785304,-0.9617167231868515,-0.9782242463917867,0,0,0,0.001401627512698912,0.005364171447941664,0.005955037851183728,0.0
2,steady_state,13,1692.3894458178133,2.7290513062968165,4.39129219905044,10.311677335610284,0.6985251468082042,0.40110506800154094,0.39437485821613144,0,0,0,0.0015502536459555967,0.005191493584021298,0.005617599998711315,0.0
2,steady_state,14,1700.742570122922,4.153140713970557,-0.4973581356937302,12.844842042195978,0.31444228483333075,-0.22803820900572236,0.21174974918461503,0,0,0,0.007750993464470488,0.0025490229308505643,0.0016288724210440327,0.0
2,steady_state,15,1691.3271073315555,2.035433460920998,4.752274577109802,6.742218163800089,-0.804655894051175,0.8582504725471026,0.7885876007710163,0,0,0,0.001883716344804179,0.004288932232544537,0.003393958519604085,0.0
2,steady_state,16,1649.3692431849654,2.7588450309899155,-6.885191344003488,7.75919155288625,0.7916605103163211,-0.8779997807379907,-0.8882977703799201,0,0,0,0.002699762717922116,0.003255762168946023,0.004023589211611859,0.0
2,steady_state,17,1645.4834724026716,2.587711364497,-2.149127457533723,8.06155226075407,0.2590036981106516,-0.7874793646563658,-0.8291434651356753,0,0,0,0.0013478090783799375,0.0034766099250316176,0.004443508918571878,0.0
2,steady_state,18,1663.691404135952,1.9821577014055423,-4.2411141281857,7.0821963149994644,0.5093719994160416,-0.8163293618555463,-0.9221672031852226,0,0,0,0.0017196890173250853,0.0034970905308531874,0.0035155652799528244,0.0
2,steady_state,19,1679.1846363046634,16.254753621935972,-24.208305818641065,53.92892590327824,-0.2944876120266733,0.28603897680090656,-0.2394210455247129,0,0,0,0.00130031852847795,0.005115190708007297,0.004202719294979324,0.0
3,steady_state,0,1657.9286878182136,4.57057104166928,11.995797224708895,12.465381839425845,0.8898774775241486,0.9303417994359902,-0.8847197219865731,0,0,0,0.005120290647728388,0.01602257188783416,0.001791911093356082,0.0
3,steady_state,1,1680.1449815865528,3.4328376934458604,9.680633458938019,12.67711144867826,0.5939768093589919,0.676058962471546,-0.6754254979266624,0,0,0,0.002889853042121869,0.014528540236525863,0.0017844006629217674,0.0
3,steady_state,2,1658.9612901262092,1.4093054986105433,-3.4854001964970394,5.914148013855538,-0.6739540298761182,-0.7245617890236683,0.6734412308962708,0,0,0,0.001599271794262923,0.004335746723292736,0.0026432842898724902,0.0
3,steady_state,3,1689.9599572787374,7.737915310188623,23.441763562555707,23.441763562555707,0.8436814060598865,0.9652937201772736,-0.9426876473696884,0,0,0,0.002354924331731025,0.002548657956131876,0.011314092261407055,0.0
3,steady_state,4,1640.591279805294,9.980318331348112,20.43124909356834,37.75861847384431,0.6061790884597161,0.6188235727957765,-0.8093709992641294,0,0,0,0.001976601710770101,0.006697996810682442,0.011208182208404558,0.0
3,steady_state,5,1678.426625829506,3.726545542055502,-6.649032844547719,11.314619627522006,-0.7909469885585855,-0.8849556981553953,0.043983211397126604,0,0,0,0.0017053168258837586,0.0038288240185007302,0.0003334651121947005,0.0
