motif_id,pattern_type,instance_idx,density_mean,density_std,density_change,density_range,ore_correlation,watermill_correlation,waterzumpf_correlation,ore_lag,watermill_lag,waterzumpf_lag,waterzumpf_cv,ore_cv,watermill_cv
3,density,1,1676.4755298834677,3.1759899008911616,-0.9233806203451422,10.059676294337578,-0.07617610402451924,0.003921153699316185,,0,0,0,3.76790834410309e-16,0.018920759125184174,0.018713670429847024
3,density,2,1691.9099794451165,4.9746887017720915,18.04516715577347,18.04516715577347,0.786470794479158,0.8148187248050304,,0,0,0,3.76790834410309e-16,0.006376476294461733,0.006144918331227616
3,density,3,1670.5483499151617,5.5602505850353054,2.7171081127437446,17.690900313163183,0.46038827390648585,0.5384544431463268,,0,0,0,3.76790834410309e-16,0.005322066188664083,0.0057123571645326335
4,density,0,1672.2900177976383,2.77925596680189,8.465106328696493,8.750208601285976,0.4682105516743728,-0.9363076928821978,-0.015282106752943211,0,0,0,2.429271381283807e-16,0.0007547769068965145,0.0011514241659590315
4,density,1,1700.5903820895062,1.091762816962497,3.1439062305200878,3.5473481590722713,0.606860288327806,-0.7328575414276722,0.5326522791947275,0,0,0,0.0002462331064707772,0.0010293257278785536,0.01504505148786785
4,density,2,1687.061123092939,0.9189552517261219,-3.165051756158846,3.317194528688333,-0.45129640005133215,0.8608261710241238,0.7222128122635008,0,0,0,0.0004711419781648766,0.0013274696455145719,0.002269696575413213
4,density,3,1684.3740807955448,0.6995245309155598,-0.29672905081861245,2.5088092344803954,0.534185059207467,-0.07027361212805291,-0.3674029912673614,0,0,0,0.0004837172338129741,0.0013675806581237152,0.0020751766431449975
4,density,4,1730.884138205638,1.2149940633400893,4.528388851360205,5.173354568020159,0.6536039702300215,-0.6134721362545427,-0.31224196805876686,0,0,0,0.0007227047068206747,0.0009702330494992726,0.0014514322769360538
4,density,5,1726.9842590489,6.694580912417046,-23.146629476793805,24.689289315208043,-0.7984269319576968,0.8282452264951389,-0.28519774728830777,0,0,0,0.0022448954719346166,0.010077464190025566,0.009043932599435136
4,density,6,1712.9755057301036,2.193918243979496,-6.167226697407614,7.8607685076669895,-0.8384923361976471,0.8446474552868211,-0.3255161753852057,0,0,0,0.0012611002402506668,0.002811906497189463,0.008929572362426863
4,density,7,1653.1178005124898,2.87774035492582,6.977318935596713,7.917848610161855,0.8938136217176658,-0.9671725456882911,-0.5141538221421641,0,0,0,0.0034514286321474102,0.005040405500210282,0.005240236965928993
4,density,8,1723.3227237534884,9.593562649275327,-29.716989896157656,29.716989896157656,-0.6903619691322123,0.8466643069778096,0.8316825900795939,0,0,0,0.000947837620621882,0.003338347253076229,0.0012015302914306304
4,density,9,1714.1313425119172,4.55970283813033,-13.505496329052221,14.644531409069032,-0.9103561439492747,0.9643123331334055,0.04935502877941073,0,0,0,0.0004906298460068093,0.0006065448782833404,0.0028553375443139246
4,density,10,1703.8799001205082,1.4595533193190233,-1.7289835946041876,5.568359801704901,-0.2665064309189314,0.465476995321931,-0.7448595324437617,0,0,0,0.0007761998879236837,0.001146801240224823,0.015215819630857736
4,density,11,1694.1614055062314,6.156155240774516,-19.81461855743214,19.81461855743214,-0.4345306854321641,0.9858616021870766,-0.5015730636279141,0,0,0,0.0009369228540129856,0.001310502134258212,0.006296265619434626
4,density,12,1704.1960705740262,5.582062205072264,17.146089864373153,17.146089864373153,0.637188034985763,-0.8260559509864965,0.14108160329898103,0,0,0,0.0005739733355855439,0.007893454722544612,0.002565416990122481
4,density,13,1714.700063198414,6.202745230124974,-21.783408399581276,21.783408399581276,-0.7706592542021554,0.9889900572185298,-0.025534691433637804,0,0,0,0.0008319084076271848,0.0027602151338525006,0.01369816234531027
4,density,14,1711.1301058838121,1.9704810750949309,-5.727434208283057,6.786780372228577,-0.9452502368619984,0.8308814934243699,-0.3834944207834296,0,0,0,0.0023249558746652084,0.0052392238778236275,0.003690460430639412
4,density,15,1681.087467783373,1.2933247642739765,-3.619117359675556,3.8387951497659287,-0.7281102783019113,0.9653212035543427,0.0739730375163521,0,0,0,0.0019401167624899063,0.00464070931125336,0.016273511583023852
4,density,16,1693.2641595721066,1.2876632595235686,-1.416100535527221,3.5978334961735072,-0.9050808970998877,0.6045320525427494,-0.3399610730526487,0,0,0,0.0004405180579144817,0.000837882523143153,0.0023271805427098257
4,density,17,1686.761256647543,1.2184830820694552,3.6374346317074924,5.861076822523501,0.8777293237089964,-0.7929342485010518,0.2599370830024885,0,0,0,0.0031752626738876053,0.00822265863679088,0.012890551975359358
4,density,18,1712.8904516837786,8.229361107935993,-27.133903952945275,27.6389293965442,-0.5782538954571139,0.9812663568555242,-0.6039553479348433,0,0,0,0.011516485679695293,0.01732059939243578,0.015877216433643815
4,density,19,1714.9740109912061,2.8617325330279764,-9.583658541071827,9.583658541071827,-0.9036540767916184,0.9747903827995229,0.6376578366747216,0,0,0,0.0002442497746955303,0.0015132610879151312,0.002382179142343467
5,density,0,1670.3858638576362,3.1337418707312734,5.622206374908956,10.521066719300961,0.7105025024978255,0.8192623848566666,0.8752307402716101,0,0,0,0.008296786463902597,0.009996273568387986,0.010632653093096729
5,density,1,1700.4788169535861,0.687009479076911,1.4244137777668584,2.3164783891115803,0.6623401070621646,0.7500857247258482,0.5802846305526268,0,0,0,0.0005574796967447699,0.011259802599045144,0.009647450199131841
5,density,2,1681.0004490356407,3.043348500126744,8.119037264609688,8.325883446720582,0.8863055472749076,0.5969209210244181,0.8192840574077214,0,0,0,0.0012338720658791862,0.001516647347522898,0.003466384229752208
5,density,3,1648.1773717212461,1.7323245395705906,6.072947029998431,6.518108281165496,0.8190931521394998,0.7618954875068594,0.5491798301173911,0,0,0,0.004351715055408144,0.005926318670620515,0.006454884270506859
6,density,0,1679.4492402255305,3.061165250630048,-10.612506093265893,10.885301776286497,-0.5831435055612242,-0.7557371448708023,-0.0020385644155844623,0,0,0,1.6094508624360466e-16,0.0006631121956377876,0.0019669448380822763
6,density,1,1729.9046699882535,1.6166716033355164,4.778794799416119,6.351314050278688,0.7621818200319221,0.5023684606576649,0.6123046037411057,0,0,0,0.0004630265121981215,0.001408254527938476,0.0013043620722780539
6,density,2,1686.626664861476,1.7519212022040993,6.763371374986036,6.87357056135761,0.6761994649371246,0.9205494376572453,0.03382128163810332,0,0,0,0.0005525863291571331,0.0009099791755088951,0.003575241078715366
6,density,3,1673.6825281264807,3.437548269531123,-11.151245485090158,11.40109733694203,-0.9192287687933614,-0.8802904410826594,-0.5065805969426151,0,0,0,0.0011629944201958155,0.001422057012042147,0.012288218474156702
6,density,4,1676.372451196314,0.949413307115937,-2.393098834761986,3.7932651472585803,-0.02843308493474121,-0.3920397481596312,0.715125739054789,0,0,0,0.001747393069561232,0.004604830672617775,0.0042162778134639
6,density,5,1670.7983406558594,2.2338794844269687,6.216916532850291,7.360939773579503,0.3775015568977401,0.5405853034326076,-0.31026852768856367,0,0,0,0.00016061502570483848,0.001341834157240484,0.002526904685331045
6,density,6,1668.6464709595525,0.7898714896715058,3.052390180185057,3.0961792710941154,0.2703348201310436,-0.22289692497511748,-0.08852561540166386,0,0,0,0.0003906359970853888,0.0008544942522799426,0.0013891828226367448
6,density,7,1686.0137721544857,1.0139264072213903,0.47188048544398953,2.904280598126661,0.783632717919432,-0.3802241089910853,0.3513104688389201,0,0,0,0.0007919480585486037,0.001015132493308295,0.004740110386298238
6,density,8,1653.7644241750245,6.432196048382537,-24.080605060689322,26.131879119848918,-0.5045822875476982,-0.5540757629495083,0.6395966750115434,0,0,0,0.0005504469715226796,0.0007887752644344221,0.003250428933898168
6,density,9,1663.070046389467,1.612315490104021,-6.118579621267372,6.118579621267372,-0.28810298306521953,-0.5877694532666515,0.12906015397893586,0,0,0,0.0004141349305612322,0.0005164391034550718,0.001408735101884647
6,density,10,1703.7306445865877,5.355809565778457,17.40960834462021,18.035166077596614,0.9256784843366657,0.9154672469779288,0.01680044294374371,0,0,0,0.0015672568186013024,0.007861348458384909,0.007648482746348818
