motif_id,num_points,pattern_type,Ore_mean,Ore_std,Ore_min,Ore_max,Ore_range,WaterMill_mean,WaterMill_std,WaterMill_min,WaterMill_max,WaterMill_range,WaterZumpf_mean,WaterZumpf_std,WaterZumpf_min,WaterZumpf_max,WaterZumpf_range,DensityHC_mean,DensityHC_std,DensityHC_min,DensityHC_max,DensityHC_range,PulpHC_mean,PulpHC_std,PulpHC_min,PulpHC_max,PulpHC_range,PressureHC_mean,PressureHC_std,PressureHC_min,PressureHC_max,PressureHC_range,CirculativeLoad_mean,CirculativeLoad_std,CirculativeLoad_min,CirculativeLoad_max,CirculativeLoad_range
11,1200,mv,156.26946076256317,0.8007006708984433,155.23502548756576,157.68934923583163,2.454323748265864,10.693239512566203,0.16001904096853414,10.486508899410387,10.977002471725145,0.4904935723147581,230.79455451578784,0.08290908871691342,230.6874432205139,230.94157782134624,0.2541346008323444,1805.176162793627,2.371553014869907,1802.1123236034398,1809.3816554476803,7.269331844240469,361.7029376908334,1.990769908530512,359.1310369885689,365.2331848216125,6.1021478330436025,0.33572877588207317,0.0039008576804569236,0.33068920874535335,0.34264619590886863,0.011956987163515287,0.5757674879433055,0.003165360804806846,0.5716685091575254,0.5813770816775152,0.0097085725199898
12,1200,mv,156.22411469748565,0.4868148807495488,155.3775616551439,156.82993999013974,1.4523783349958421,10.684177157420095,0.09728935316033284,10.514994576603081,10.80525059453389,0.29025601793080824,230.78985912702507,0.05040757377097015,230.70220222371273,230.85258971382382,0.1503874901110862,1805.0418546791775,1.4418712761033208,1802.5344939477816,1806.8362166067952,4.301722659013649,361.59019445842745,1.2103604391059541,359.4854224956691,363.09644867586087,3.611026180191743,0.3355078586870896,0.002371667260378076,0.33138361718567133,0.3384593214893041,0.007075704303632746,0.5755913787287165,0.0019284217949607097,0.5722351552127366,0.5779891730285932,0.005754017815856605
13,1200,mv,158.09441280225636,1.7560831698146007,154.891261789289,159.72817539756244,4.8369136082734485,11.057953925603474,0.3509510543801672,10.417808148533883,11.38445936411871,0.966651215584827,230.9835204003715,0.18183481119988149,230.6518479775049,231.15268944553367,0.5008414680287672,1810.5813918249344,5.201249964063468,1801.0941480670856,1815.4203469417475,14.32619887466194,366.24028821041776,4.36612289511519,358.2763425302682,370.3022873202331,12.02594478996491,0.3446195866922037,0.008555295092741685,0.32901445897752757,0.3525789597757705,0.023564500798242904,0.5829436618700963,0.006912930795168725,0.5703004510587761,0.5893648585056674,0.019064407446891307
14,1200,mv,159.31342309817813,1.5293380512108998,154.81813048762308,160.27875628016827,5.460625792545187,11.301571628914866,0.3056363222436898,10.403192948144168,11.494492274059125,1.0912993259149566,231.1097436401472,0.15835633561256038,230.6442755477591,231.20969971279192,0.5654241650328231,1814.1919140182113,4.529665576569124,1800.877544328322,1817.0510833698916,16.173539041569484,369.2710949819256,3.8023699529377706,358.0945172864292,371.67118820060085,13.576670914171643,0.3505583673729628,0.0074506370481581975,0.3286581775228546,0.355261282574646,0.02660310505179142,0.5877259342989072,0.006023875560095376,0.5700091510088213,0.5915101124983773,0.021500961489555936
15,1200,mv,157.82673826402504,1.2329486156608986,154.99327296804591,159.92567649250734,4.932403524461421,11.00445949946366,0.24640325931057305,10.438194956720814,11.42392971421578,0.9857347574949653,230.95580386054073,0.1276664924540704,230.66241079351977,231.173139829051,0.5107290355312273,1809.7885807518098,3.651805366129321,1801.3962895880363,1816.0053150005742,14.609025412537903,365.5747730742897,3.0654614040324533,358.52997137358506,370.7933312908557,12.263359917270634,0.34331552848884184,0.006006685459140287,0.32951143756716694,0.3535411466342504,0.02402970906708346,0.5819046931760028,0.00486718349300697,0.5707066323797522,0.5901349658528314,0.019428333473079262
16,1200,mv,159.2985872258338,2.29496433776315,154.96066665520127,166.27971525699675,11.319048601795487,11.298606698135167,0.4586457907844377,10.431678625336863,12.69377652005097,2.262097894714106,231.10820744978156,0.23763362364647084,230.65903455095793,231.83107304027791,1.1720384893199878,1814.1479724317169,6.79733362547842,1801.299714672664,1834.8250067233457,33.52529205068163,369.2342087780003,5.705934952749663,358.4489027935295,386.5912812985513,28.14237850502178,0.3504860898931454,0.011180619161081718,0.3293525859631726,0.3844967856354861,0.05514419967231354,0.587644472233924,0.008890129162289288,0.5705768222839349,0.6145740915260265,0.043997269242091575
17,1200,mv,162.08093048131713,5.524651703469913,153.52738630344305,166.3747393687155,12.847353065272443,11.854654564172463,1.104094825201617,10.145239315788084,12.712766971512767,2.5675276557246836,231.396307050786,0.5720537709792058,230.51062457434733,231.8409123757438,1.33028780139648,1822.3888479246032,16.363174004548867,1797.054557321226,1835.1064536195738,38.051896298347856,376.1519065264034,13.73585756339988,354.88535963879895,386.82753830328477,31.942178664485823,0.3640411241928434,0.026915026816636003,0.32236992331330805,0.38495972459569816,0.06258980128239011,0.5982470852496659,0.02155703740410577,0.5648525108556753,0.6149347143261107,0.05008220347043535
18,1200,mv,156.49134672147122,5.340977245271441,152.86175171694236,166.11295725701967,13.251205540077308,10.737583147633984,1.0673877113954606,10.01221306510716,12.660450139544482,2.648237074437322,230.81752984642108,0.5530350758496999,230.44170099404946,231.813805971176,1.372104977126554,1805.8333550927362,15.819158330618661,1795.0830494059821,1834.3310950132989,39.248045607316726,362.25460937811187,13.279190549574505,353.2304024830921,386.1766734176953,32.946270934603206,0.3368097610472545,0.026020200638754418,0.31912708128319545,0.3836843731464866,0.06455729186329118,0.5764127137088916,0.020860217214340133,0.5621818574342701,0.613940893770898,0.05175903633662793
19,1200,mv,164.54228787706805,2.8477180245995544,153.4971090129444,166.19354143019294,12.69643241724853,12.346553802257189,0.5691129329689628,10.139188436645846,12.676554787107674,2.537366350461829,231.65116995537102,0.2948688753780547,230.5074894919685,231.82215011350738,1.3146606215388772,1829.6790123577307,8.434505567680523,1796.9648806140945,1834.5697730184334,37.6048924043389,382.27154201028765,7.080238043252236,354.8100816716044,386.3770286226899,31.566946951085527,0.37603237791664884,0.013873527438874522,0.3222224182524562,0.38407696353921544,0.061854545286759266,0.607889756150194,0.011085645158858603,0.5647312014400533,0.6142469345243655,0.04951573308431223
20,1200,mv,158.16905522044456,5.320723103832465,150.22185164835165,174.15393852697014,23.93208687861849,11.348146334451537,1.2456748370075055,10.03297223508746,13.790661206865812,3.757688971778352,221.4486867492287,18.613353215932392,126.37392877019532,231.78173166683868,105.40780289664336,1803.8984699859036,33.25929451077156,1702.6607371968103,1899.9651980418282,197.30446084501796,389.9208144454816,61.82842730339296,353.4886638166979,574.3265647850913,220.83790096839334,0.33663276976875656,0.02276718823540635,0.2835902021956429,0.3821752829085406,0.09858508071289768,0.6701334858692551,0.2078423851823353,0.5339473369302952,1.26121147183819,0.7272641349078948
21,1200,density,166.1235457081181,6.306171633151378,150.00995442520443,175.20581656565656,25.195862140452135,12.548978744719902,1.5456842330917921,8.860922385576343,14.80914465526332,5.948222269686978,219.12650909018257,16.43127355929324,187.93697037037037,246.57226427322675,58.635293902856375,1764.5575097387477,53.668385683390056,1680.2032317349478,1882.7837681619396,202.58053642699178,414.1983018773912,78.90228430294623,350.0373305620424,599.9642456432362,249.92691508119373,0.3560433624527467,0.016642165336989964,0.31953279077645924,0.3874510810124288,0.06791829023596957,0.6432292168781488,0.2881295300093626,0.3583429759010565,1.4339573121580846,1.075614336257028
22,1200,density,165.51947079922974,6.368901275831125,149.85194505494508,178.12394888888892,28.27200383394384,12.56535361521533,2.207376370044578,5.7985598741033515,17.83860007866211,12.04004020455876,221.4408081702819,21.681930361155498,178.014,252.89182237843855,74.87782237843854,1761.6768530913566,42.48899503159118,1674.2031576907793,1853.2617467276234,179.05858903684407,463.2916572147703,99.34149207921669,351.2844898685848,599.8496897740895,248.5651999055047,0.3482193439121476,0.022072480298240632,0.3001596628852498,0.387152890777578,0.08699322789232816,0.8381961339227185,0.35557615411528265,0.40393094867653534,1.4974848816528823,1.0935539329763468
23,540,density,163.56723036907667,6.006949321680801,153.00598080808084,177.91236183501684,24.906381026936003,12.354337633377405,3.2846960368177087,5.089489537715795,17.473733462412756,12.38424392469696,213.4915940136553,14.085246359863566,186.778,232.32181649831648,45.54381649831649,1765.5584511503487,53.64869132072561,1680.15966746916,1842.0149417033633,161.8552742342033,464.1341894747807,94.02169263525128,350.01108402954003,594.1010472378091,244.08996320826907,0.35260205010891427,0.028442943612743746,0.29684987264342705,0.39210009311172767,0.09525022046830062,0.8712892512927739,0.3618639022514988,0.4254002346016227,1.473458132763196,1.0480578981615731
24,660,density,169.5010176010143,4.618798849753137,159.77530714285712,178.48271668391996,18.707409541062844,13.630290333990116,1.461903816051315,10.940822068061385,16.905120282211204,5.964298214149819,215.43578042730726,25.334808262988478,188.77578,259.593555016731,70.81777501673099,1713.1335804872476,56.27870084294472,1642.5532353444094,1852.2481161251244,209.69488078071504,477.8427331937998,80.07264338716989,350.42060210689095,599.641699965674,249.22109785878303,0.3662729538419997,0.034395810539886246,0.3145571228028265,0.4261911566713642,0.11163403386853771,0.7904151040840338,0.31697001441178463,0.22447472983648808,1.3250831242106111,1.100608394374123
25,1200,density,167.57272129165796,6.852257041924758,149.89053884319384,184.2214433557005,34.33090451250666,13.98188661783659,1.6353510309863315,10.02214959240303,17.292720684369712,7.270571091966682,210.04267554255208,15.749117301262757,186.29820400882272,239.12985555555557,52.83165154673284,1743.086764420999,70.13160349045148,1645.4091343914083,1902.6360502808066,257.22691588939824,458.7465933085162,75.29255643544082,350.00899049369644,581.4569579150112,231.4479674213148,0.35229896080615775,0.0352033433945194,0.2947317350403083,0.4414264864544219,0.1466947514141136,0.7671019705334815,0.22962469998372623,0.3749636066048096,1.1920561128006353,0.8170925061958256
26,480,density,166.46213878787077,6.271150609230926,154.459769986125,178.30787638602138,23.84810639989638,13.44812428401466,1.1173246519219104,11.523443180997925,15.467603637209496,3.9441604562115717,219.80648391398705,22.72848262550004,175.4389,247.636547008547,72.19764700854702,1748.9871205525428,57.703021607677286,1659.5006043095984,1866.5027223368186,207.00211802722015,468.89260940511247,92.40719195391333,368.59060643314825,595.3045208780917,226.71391444494344,0.36983235843813467,0.02642197621751052,0.33363312183392957,0.4258853571463426,0.09225223531241306,0.8334495523537481,0.34570405339536453,0.4474139175612059,1.4655390437660925,1.0181251262048865
27,780,density,166.02803522462779,6.4652847211293585,151.0950646825397,182.24177226717728,31.146707584637596,13.370634929388551,2.449729237549368,7.341235688684615,16.00825501815541,8.667019329470794,209.67013951224635,21.170880717247417,185.36823076923076,251.55849816849818,66.19026739926741,1772.5565359743912,42.106335109914184,1700.5054428055162,1837.9653894384803,137.45994663296415,457.74705853350906,71.78948710353862,350.06888037225673,569.461784390944,219.39290401868726,0.3509052273995193,0.03055299932688095,0.3056347947869188,0.42779321854615976,0.12215842375924096,0.8316754308917509,0.2804107733314564,0.4552324550525715,1.3574393995936787,0.9022069445411072
28,1200,density,168.96172981788996,9.263334494205619,149.70082030303033,185.2504434620717,35.549623159041374,13.874674632625458,1.9588067753748488,10.782801215592775,17.045192546546385,6.26239133095361,215.9291653205143,24.055522857424354,183.35930000000002,258.5466995651522,75.18739956515219,1719.5255085722301,56.17116960468057,1650.0177949714027,1877.7551025662017,227.73730759479895,489.1998000911059,88.23030317923362,362.39840058793055,599.8796698755802,237.4812692876497,0.37396071979559686,0.027243359555863118,0.3246350183608297,0.42924493225848054,0.10460991389765084,0.8488605170000242,0.3442465932767206,0.3916841393277865,1.440237929094785,1.0485537897669985
29,300,density,170.27546344017378,4.743914141101673,164.78778928571427,181.06908045177045,16.281291166056178,13.747546516735037,2.0947713694363075,10.54295254069411,17.462967424676904,6.920014883982795,208.26889928280954,23.32946326932191,174.83256031746032,239.90028588496128,65.06772556750096,1746.4015688259108,33.552391955238654,1680.0401823545144,1797.2562390177231,117.21605666320875,469.0018553120932,56.14860351569362,401.5494687125608,550.5303062965808,148.98083758401998,0.34477862304912066,0.03828044483271123,0.2951672224439596,0.4196025193612464,0.12443529691728678,0.7997640169720791,0.24363875086992068,0.40352756158020125,1.1345964350161788,0.7310688734359776
