TimeStamp,Ore,WaterMill,WaterZumpf,Power,ZumpfLevel,PressureHC,DensityHC,FE,PulpHC,PumpRPM,MotorAmp,PSI80,PSI200,id,Date,Shift,Class_15,Class_12,Grano,Daiki,Shisti,Original_Sheet,mill_id,C_v,C_m,M_solid_to_cyclone,CirculativeLoad,motif_id,segment_start,segment_end,motif_distance
2025-09-02 09:00:00,175.189,14.555619191364437,150.16679874301624,1987.0493865078092,1647.6064749860593,0.4710044893721371,1652.7777410637577,3.1918,557.937095966585,710.3007182539683,209.1528439865605,52.66436028054633,19.784199335548173,733,,1,1.0,6.0,0.626,0.321,0.053,,6,0.34356723213881984,0.6028305854127197,555.8978209295511,2.173131994186571,2,18443,18503,4.397629224812096
2025-09-02 09:01:00,175.189,14.557733635808882,151.28834689116442,1989.6291939759328,1651.1893342453184,0.4716428194817438,1652.4130077304249,3.1946000000000003,559.4517765221407,710.9509515873016,209.27315216818846,52.69197932816538,19.75562790697675,733,,1,1.0,6.0,0.626,0.321,0.053,,6,0.3433752672265394,0.6026267466416709,557.0955194645915,2.1799686022786333,2,18443,18503,4.397629224812096
2025-09-02 09:02:00,175.189,14.562351133040332,150.67040244671995,1988.1104835934193,1650.711609834624,0.47253868374473423,1652.2203257128808,3.1974,560.6186989968882,711.3971801587302,209.0261790796762,52.70531266149871,19.74229457364341,733,,1,1.0,6.0,0.626,0.321,0.053,,6,0.3432738556383583,0.6025190259790049,558.0926528081039,2.1856603600003655,2,18443,18503,4.397629224812096
2025-09-02 09:03:00,175.189,14.558682915986072,153.4751580022755,1991.3623828648217,1648.8812082246063,0.4725796551509231,1652.3256590462142,3.2002,561.1423334989919,711.8622171957671,209.2903383652603,52.718645994832045,19.728961240310078,733,,1,1.0,6.0,0.626,0.321,0.053,,6,0.3433292942348496,0.6025779166655283,558.704143843966,2.1891508247890337,2,18443,18503,4.397629224812096
2025-09-02 09:04:00,175.189,14.550976397467553,155.29698776418027,1986.7337932473354,1650.17847987434,0.47296366188492983,1652.5297374775867,3.203,561.8797605386189,712.2368095767197,208.7915364878657,52.73197932816537,19.715627906976746,733,,1,1.0,6.0,0.626,0.321,0.053,,6,0.3434367039355719,0.6026919932668787,559.613385605726,2.194340886732192,2,18443,18503,4.397629224812096
2025-09-02 09:05:00,175.189,14.55288555497671,157.0712410975136,1984.7193342309417,1649.8422209395605,0.47362831731231814,1652.702302694978,3.2004666666666663,562.3552170514395,712.4748667195767,208.67424683269326,52.745312661498716,19.702294573643414,733,,1,1.0,6.0,0.626,0.321,0.053,,6,0.343527527734199,0.6027884324991108,560.2350425241184,2.1978893796078434,2,18443,18503,4.397629224812096
2025-09-02 09:06:00,175.189,14.552386498690899,159.49876702343954,1982.2586480742934,1648.6537445862841,0.47400651227824775,1652.7724203420366,3.1979333333333333,562.5001973544697,712.57738005291,208.48017247512084,52.758645994832044,19.688961240310082,733,,1,1.0,6.0,0.626,0.321,0.053,,6,0.34356443175896667,0.6028276124639195,560.4396759383455,2.199057451885367,2,18443,18503,4.397629224812096
2025-09-02 09:07:00,175.189,14.551047799992201,160.94382257899505,1979.9224814076267,1650.2267454807384,0.4740370571087926,1652.8902629346294,3.1954,562.7640381969607,712.74422005291,208.32742137986855,52.73616537467701,19.72446511627907,733,,1,1.0,6.0,0.626,0.321,0.053,,6,0.34362645417612075,0.6028934524313074,560.803771852024,2.201135755395739,2,18443,18503,4.397629224812096
2025-09-02 09:08:00,175.189,14.550901537365938,161.39307625420875,1980.7824690352174,1650.808658170735,0.47429122377545924,1653.084440712407,3.1928666666666667,563.0656871672123,712.8713200529102,208.48450614177332,52.71663049095608,19.76617054263566,733,,1,1.0,6.0,0.626,0.321,0.053,,6,0.34372865300653005,0.60300192123843,561.2712495921281,2.203804174874725,2,18443,18503,4.397629224812096
2025-09-02 09:09:00,175.189,14.537948944773346,163.99560125420876,1978.296366228882,1648.091882320395,0.4744735767166357,1653.4656714816379,3.1903333333333337,563.037406007792,712.9471867195767,208.3711505297206,52.71663049095607,19.786170542635663,733,,1,1.0,6.0,0.626,0.321,0.053,,6,0.3439293007798094,0.6032148047970668,561.5706779472988,2.2055133481400024,2,18443,18503,4.397629224812096
